# Tuples,RecallForTop-5,RecallForTop-10,RecallForTop-15,RecallForTop-20
100,0.16666666666666666,0.5,0.7333333333333334,0.7333333333333334
500,0.3,0.6999999999999998,0.8666666666666667,0.9333333333333332
1000,0.3,0.6333333333333333,0.8000000000000002,0.9
2000,0.4000000000000001,0.8000000000000002,0.9,0.9666666666666667
5000,0.4000000000000001,0.8000000000000002,0.9,1.0
10000,0.4000000000000001,0.8000000000000002,0.9,1.0
20000,0.4000000000000001,0.8000000000000002,0.9,1.0
