# Tuples,PrecisonForTop-5,PrecisonForTop-10,PrecisonForTop-15,PrecisonForTop-20
100,0.3333333333333333,0.5,0.48888888888888893,0.3666666666666667
500,0.6,0.6999999999999998,0.5777777777777778,0.4666666666666666
1000,0.6,0.6333333333333333,0.5333333333333333,0.45
2000,0.8000000000000002,0.8000000000000002,0.6,0.48333333333333334
5000,0.8000000000000002,0.8000000000000002,0.6,0.5
10000,0.8000000000000002,0.8000000000000002,0.6,0.5
20000,0.8000000000000002,0.8000000000000002,0.6,0.5
