# Tuples,F-MeasureForTop-5,F-MeasureForTop-10,F-MeasureForTop-15,F-MeasureForTop-20
100,0.2222222222222222,0.5,0.5866666666666667,0.488888888888889
500,0.4,0.6999999999999998,0.6933333333333334,0.6222222222222221
1000,0.4,0.6333333333333333,0.64,0.6
2000,0.5333333333333334,0.8000000000000002,0.7200000000000001,0.6444444444444445
5000,0.5333333333333334,0.8000000000000002,0.7200000000000001,0.6666666666666666
10000,0.5333333333333334,0.8000000000000002,0.7200000000000001,0.6666666666666666
20000,0.5333333333333334,0.8000000000000002,0.7200000000000001,0.6666666666666666
