Topk, ForPrecision, ForRecall, ForF-Measure
5,0.6,0.42857142857142855,0.5
10,0.5,0.7142857142857143,0.588235294117647
15,0.4,0.8571428571428571,0.5454545454545455
20,0.3,0.8571428571428571,0.4444444444444444
