Top-k, ForG-Precision, ForG-Recall, ForG-F-Measure
5,0.2,0.14285714285714285,0.16666666666666666
10,0.2,0.2857142857142857,0.23529411764705882
15,0.26666666666666666,0.5714285714285714,0.36363636363636365
20,0.2,0.5714285714285714,0.29629629629629634
