Top-k, ForG-Precision, ForG-Recall, ForG-F-Measure
5,0.6,0.42857142857142855,0.5
10,0.6,0.8571428571428571,0.7058823529411764
15,0.4666666666666667,1.0,0.6363636363636364
20,0.35,1.0,0.5185185185185185
