Topk, ForPrecision, ForRecall, ForF-Measure
5,0.6,0.42857142857142855,0.5
10,0.3,0.42857142857142855,0.3529411764705882
15,0.3333333333333333,0.7142857142857143,0.4545454545454545
20,0.25,0.7142857142857143,0.37037037037037035
