# Predicates,# Minimal DCsForFASTDC,# Minimal DCsForFASTDC-DS,# Minimal DCsForFASTDC-DO
2.6315789473684212,0.0,0.0,0.0
6.105263157894737,0.15789473684210525,0.15789473684210525,0.15789473684210525
9.368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579
13.263157894736842,3.0,3.0,3.0
18.0,13.157894736842104,13.157894736842104,13.157894736842104
21.05263157894737,17.63157894736842,17.63157894736842,17.63157894736842
25.36842105263158,67.21052631578948,67.21052631578948,67.21052631578948
30.105263157894736,174.68421052631578,174.68421052631578,174.68421052631578
34.8421052631579,342.6842105263158,342.6842105263158,342.6842105263158
38.73684210526316,587.6315789473684,587.6315789473684,587.6315789473684
42.0,883.0,883.0,883.0
46.94736842105263,1671.3157894736842,1671.3157894736842,1671.3157894736842
50.0,2549.315789473684,2549.315789473684,2549.315789473684
