# Predicates,Wasted WorkForFASTDC,Wasted WorkForFASTDC-DS,Wasted WorkForFASTDC-DO
2.6315789473684212,0.0,0.0,0.0
6.105263157894737,0.0,0.0,0.0
9.368421052631579,0.0,0.0,0.21052631578947367
13.263157894736842,0.21052631578947367,0.7894736842105263,11.842105263157896
18.0,4.052631578947368,11.894736842105264,511.4736842105263
21.05263157894737,5.315789473684211,25.210526315789473,1054.421052631579
25.36842105263158,29.105263157894736,90.52631578947368,4175.315789473684
30.105263157894736,113.42105263157895,330.2105263157895,18442.105263157893
34.8421052631579,243.47368421052633,701.5263157894736,59609.42105263158
38.73684210526316,428.63157894736844,1273.0526315789473,137885.7894736842
42.0,605.0,1849.9473684210527,281942.4736842105
46.94736842105263,1203.8947368421052,3592.7894736842104,765189.6315789474
50.0,1940.842105263158,5973.9473684210525,1622039.8421052631
